new double[] { 0.61, 0.01, 0.82, 0.49, -16.24, -0.31, 1.76, -5.27, 21.09, 51 },
new double[] { 0.62, 0.02, 0.82, 1.22, -25.45, 0.67, 2.78, -5.42, 21.53, 52 },
new double[] { 0.64, 0.02, 0.81, 2.01, -23.99, 1.77, 1.46, -5.27, 21.39, 49 },
new double[] { 0.65, 0.02, 0.83, 3.54, -26, 3.72, 0.73, -5.13, 19.78, 47 },
new double[] { 0.73, -0.08, 0.71, 19.9, -65.86, 20.63, 0.59, -5.57, 20.51, 60 },
new double[] { 0.74, -0.02, 0.69, -7.26, -24.29, -8.67, -1.32, -5.71, 20.36, 52 },
new double[] { 0.74, 0.04, 0.68, -26.43, -6.04, -26.55, -1.46, -5.57, 20.21, 51 },
new double[] { 0.73, 0.02, 0.73, -2.69, -28.56, -3.78, -2.05, -5.27, 20.8, 52 },
new double[] { 0.77, -0.01, 0.65, -1.95, -58.78, -3.23, -2.49, -5.42, 21.24, 57 },
new double[] { 0.84, 0.01, 0.7, -9.09, -49.44, -8.24, -2.78, -5.71, 22.12, 47 },
new double[] { 0.81, 0.03, 0.54, -1.77, -34.85, -2.32, -4.39, -4.98, 21.39, 46 },
new double[] { 0.85, 0.01, 0.6, 0.37, -20.81, -0.73, -5.27, -5.27, 21.39, 50 },
new double[] { 0.86, 0.02, 0.53, 1.1, -17.09, -0.12, -4.83, -4.54, 22.12, 55 },
new double[] { 0.87, 0, 0.55, -1.71, -2.08, -2.14, -4.39, -6.45, 21.97, 48 },
new double[] { 0.86, 0.01, 0.56, -0.43, -2.5, -1.4, -5.27, -5.27, 22.27, 48 },
new double[] { 0.87, 0, 0.53, 1.28, -16.3, -0.37, -4.83, -6.59, 22.41, 48 },
new double[] { 0.88, 0.01, 0.52, 0.18, 2.2, -0.79, -5.42, -4.25, 21.53, 47 },
new double[] { 0.88, 0.01, 0.52, 1.46, -2.14, -0.06, -5.71, -6.01, 20.65, 53 },
new double[] { 0.88, 0.01, 0.51, 1.1, -0.12, 0.18, -5.57, -5.86, 22.56, 53 },
